label_id,council_districts,method,matched
e17e0c0c99e3,11,park,Mosholu Parkway
5ee2a3f42988,11,park,Mosholu Parkway
3c7a2374402c,11,park,Ewen Park
e96116f66ac8,11,park,Henry Hudson Parkway
be13f14ec245,11,park,Van Cortlandt Park
f301e253eabf,11,park,Van Cortlandt Park
56c1a970914a,11,park,Van Cortlandt Park
7b1ef56b60fc,11,park,Van Cortlandt Park
beb42b6b51b0,11,park,Jerome Park
bb1749f824e2,13,park,Ferry Point Park
fb3e6f52618d,13,park,Hart Island
67a4d6ef4196,13,park,Ferry Point Park
11257438743d,13|15,park,Pelham Parkway
c27fef5df1d9,12|13|15,park,Bronx River Parkway
aacaa8336f92,13|15,park,Pelham Parkway
f6c48cd63d52,33,park,McCarren Park
0b7e0fa7b143,33,park,Mt. Carmel Triangle
105d4db967a1,33,park,McCarren Park
2549b635d6e9,36,park,Raymond Bush Playground
60c038aab569,41,park,Saratoga Park
adaae67a853b,36,park,Potomac Playground
f2473b812abc,36,park,Kosciuszko Pool
61dcc1fa521c,34,park,Maria Hernandez Park
054b5dda2a92,42,park,Success Garden
ad19710e1a5e,42,park,Grace Playground
56f4b3ea1fe1,42,park,Pink Playground
dd633b22dddf,39,park,Grand Army Plaza
0e7a615e9a9e,39,park,Prospect Park
bd0a0c591e02,36,park,Brower Park
1180ebd1f82b,35|41,park,Eastern Parkway
0d8af1146d27,35,park,Dodger Playground
d1750950eacc,38,park,McKinley Park
31b67d8978f5,38,park,Leif Ericson Park
85c0ee805a35,38,park,Leif Ericson Park
